Player,Tm,Position,Cap_Hit
"Nicholas Abruzzese
",TOR,C,850000
"Matt Nieto
",SJS,LW,850000
"William Lockwood
",VAN,RW,842500
"Jacob Peterson
",DAL,C,842500
"Jesper Froden
",BOS,RW,842500
"Pyotr Kochetkov
",CAR,G,842500
"Jordan Harris
",MTL,D,842500
"Karel Vejmelka
",ARI,G,842500
"Philipp Kurashev
",CHI,C,842500
"Robin Salo
",NYI,D,842500
"Scott Reedy
",SJS,C,842500
"Jasper Weatherby
",SJS,C,842500
"Angus Crookshank
",OTT,LW,838333
"Jack Matier
",NSH,D,838333
"Kevin Mandolese
",OTT,G,835000
"Ryan McLeod
",EDM,C,834167
"Viktor Lodin
",OTT,C,830000
"Connor Dewar
",MIN,C,825833
"Scott Wedgewood
",DAL,G,825000
"Carter Rowney
",DET,C,825000
"Derick Brassard
",EDM,C,825000
"Kevin Connauton
",PHI,D,825000
"Zack MacEwen
",PHI,C,825000
"Nathan Bastian
",NJD,RW,825000
"Rasmus Asplund
",BUF,C,825000
"Mark Kastelic
",OTT,C,821667
"Carson Meyer
",CBJ,RW,820000
"Jordan Spence
",LAK,D,820000
"Linus Hogberg
",PHI,D,815000
"Mackenzie Entwistle
",CHI,RW,811667
"Oskar Steen
",BOS,C,809167
"Fabian Zetterlund
",NJD,LW,809167
"Simon Benoit
",ANA,D,809166
"Sean Durzi
",LAK,D,809166
"Adam Ruzicka
",CGY,C,801666
"Brad Hunt
",VAN,D,800000
"Spencer Martin
",VAN,G,800000
"Brad Richardson
",VAN,RW,800000
"Ty Lewis
",CGY,LW,800000
"Trevor Lewis
",CGY,C,800000
"Curtis Lazar
",BOS,C,800000
"Logan Thompson
",VGK,G,800000
"Magnus Hellberg
",DET,G,800000
"Brendan Smith
",CAR,D,800000
"Calvin Pickard
",DET,G,800000
"Kevin Lankinen
",CHI,G,800000
"Gerald Mayhew
",ANA,C,800000
"Erik Gustafsson
",CHI,D,800000
"Ben Harpur
",NSH,D,800000
"Tanner Jeannot
",NSH,LW,800000
"Nate Thompson
",PHI,C,800000
"Mason Marchment
",FLA,LW,800000
"Jimmy Vesey
",NJD,LW,800000
"Blake Lizotte
",LAK,C,800000
"Nikolai Knyzhov
",SJS,D,796667
"Fredrik Karlstrom
",DAL,C,795000
"Jason Robertson
",DAL,LW,795000
"Kevin Bahl
",NJD,D,795000
"Nicolas Hague
",VGK,D,791667
"Martin Fehervary
",WAS,D,791667
"Vladislav Kolyachonok
",ARI,D,789167
"Nikita Okhotyuk
",NJD,D,789167
"Niko Mikkola
",STL,D,787500
"Andrew Peeke
",CBJ,D,787500
"Arturs Silovs
",VAN,G,786111
"Jonah Gadjovich
",SJS,LW,783333
"Alexander Chmelevski
",SJS,C,778333
"Julien Gauthier
",NYR,RW,775000
"Alexei Toropchenko
",STL,RW,775000
"Kyle Capobianco
",ARI,D,775000
"Tyler Parsons
",CGY,G,771750
"Austin Strand
",LAK,D,771750
"Jack Studnicka
",BOS,C,769167
"Brady Keeper
",VAN,D,762500
"Dryden Hunt
",NYR,LW,762500
"Dylan Coghlan
",VGK,D,762500
"Kale Clague
",MTL,D,761250
"Boris Katchouk
",CHI,LW,758333
"Taylor Raddysh
",CHI,RW,758333
"Yegor Zamula
",PHI,D,756667
"Jonathan Dahlen
",SJS,C,750000
"Noah Gregor
",SJS,C,750000
"Jaycob Megna
",SJS,D,750000
"Nicholas Meloche
",SJS,D,750000
"Lane Pederson
",SJS,C,750000
"Jeffrey Truchon-Viel
",SJS,LW,750000
"Kyle Burroughs
",VAN,D,750000
"Alex Chiasson
",VAN,RW,750000
"Sheldon Dries
",VAN,C,750000
"Juho Lammikko
",VAN,RW,750000
"Nicolas Petan
",VAN,C,750000
"Oliver Kylington
",CGY,D,750000
"Joel Hanley
",DAL,D,750000
"Michael Stone
",CGY,D,750000
"Daniel Vladar
",CGY,G,750000
"Brandon Duhaime
",MIN,RW,750000
"Marian Studenic
",DAL,RW,750000
"Kevin Rooney
",NYR,C,750000
"Jonny Brodzinski
",NYR,C,750000
"Greg McKegg
",NYR,C,750000
"Ryan Donato
",SEA,C,750000
"Morgan Geekie
",SEA,C,750000
"Derrick Pouliot
",SEA,D,750000
"Michael Amadio
",VGK,C,750000
"Anton Blidh
",BOS,LW,750000
"Kyle Criscuolo
",DET,C,750000
"Turner Elson
",DET,LW,750000
"Ben Hutton
",VGK,D,750000
"Olli Juolevi
",DET,D,750000
"Nicolas Roy
",VGK,C,750000
"Givani Smith
",DET,RW,750000
"Jake Evans
",MTL,C,750000
"Laurent Dauphin
",MTL,C,750000
"Samuel Montembeault
",MTL,G,750000
"Michael Pezzetta
",MTL,C,750000
"Ryan Poehling
",MTL,C,750000
"Chris Wideman
",MTL,D,750000
"Tyler Bozak
",STL,C,750000
"Logan Brown
",STL,C,750000
"Ville Husso
",STL,G,750000
"Calle Rosen
",STL,D,750000
"Nathan Walker
",STL,LW,750000
"Nic Dowd
",WAS,C,750000
"Matt Irwin
",WAS,D,750000
"Axel Jonsson-Fjallby
",WAS,LW,750000
"Joe Snively
",WAS,LW,750000
"Sam Lafferty
",CHI,C,750000
"Travis Boyd
",ARI,LW,750000
"Michael Carcone
",ARI,RW,750000
"Cam Dineen
",ARI,D,750000
"Jeremy Davies
",NSH,D,750000
"Matt Luff
",NSH,RW,750000
"Michael McCarron
",NSH,RW,750000
"Mathieu Olivier
",NSH,RW,750000
"Alex Galchenyuk
",ARI,C,750000
"Bokondji Imama
",ARI,LW,750000
"Sam Carrick
",ANA,C,750000
"Patrick Brown
",PHI,LW,750000
"Trevor Carrick
",ANA,D,750000
"Samuel Morin
",PHI,D,750000
"Vinni Lettieri
",ANA,C,750000
"Dysin Mayo
",ARI,D,750000
"Felix Sandstrom
",PHI,G,750000
"Nick Seeler
",PHI,D,750000
"Joshua Mahura
",ANA,D,750000
"Liam O'Brien
",ARI,C,750000
"Eric Comrie
",WPG,G,750000
"Harri Sateri
",ARI,G,750000
"Evgeny Svechnikov
",WPG,LW,750000
"Dominic Toninato
",WPG,C,750000
"Lucas Carlsson
",FLA,D,750000
"Jack Johnson
",COL,D,750000
"Jonas Johansson
",FLA,G,750000
"Joe Thornton
",FLA,C,750000
"Dominik Simon
",ANA,C,750000
"Andrej Sustr
",ANA,D,750000
"Jon Gillies
",NJD,G,750000
"Andrew Hammond
",NJD,G,750000
"Colton White
",NJD,D,750000
"Brian Boyle
",PIT,C,750000
"Louis Domingue
",PIT,G,750000
"Chad Ruhwedel
",PIT,D,750000
"Joseph Anderson
",TOR,RW,750000
"Andrew Oglevie
",BUF,C,750000
"Craig Anderson
",BUF,G,750000
"Drake Caggiula
",BUF,C,750000
"Erik Källgren
",TOR,G,750000
"Jason Spezza
",TOR,C,750000
"John Hayden
",BUF,C,750000
"Michael Houser
",BUF,G,750000
"Nathan Gerbe
",CBJ,LW,750000
"Gavin Bayreuther
",CBJ,D,750000
"Justin Danforth
",CBJ,RW,750000
"Brendan Gaunce
",CBJ,C,750000
"Jacob Moverare
",LAK,D,750000
"Kieffer Bellows
",NYI,LW,750000
"Zdeno Chara
",NYI,D,750000
"Andy Greene
",NYI,D,750000
"Otto Koivula
",NYI,LW,750000
"Zach Parise
",NYI,LW,750000
"Alex Formenton
",OTT,LW,747500
"Mitchell Stephens
",DET,C,737500
"Mathieu Joseph
",OTT,RW,737500
"Alex Carrier
",NSH,D,733333
"Connor Ingram
",NSH,G,733333
"Parker Kelly
",OTT,C,726667
"Kaapo Kahkonen
",SJS,G,725000
"Madison Bowey
",VAN,D,725000
"Matthew Highmore
",VAN,C,725000
"Jacob Middleton
",MIN,D,725000
"Karson Kuhlman
",SEA,RW,725000
"Daniel Sprong
",SEA,RW,725000
"Keegan Kolesar
",VGK,RW,725000
"Zach Whitecloud
",VGK,D,725000
"Jake Walman
",DET,D,725000
"Steven Lorentz
",CAR,C,725000
"William Lagesson
",MTL,D,725000
"Jakub Zboril
",BOS,D,725000
"Yakov Trenin
",NSH,C,725000
"Adam Brooks
",WPG,C,725000
"Jansen Harkins
",WPG,C,725000
"Jacob MacDonald
",COL,D,725000
"Ryan Lomberg
",FLA,LW,725000
"Logan O'Connor
",COL,C,725000
"Nico Sturm
",COL,C,725000
"Mason Geertsen
",NJD,D,725000
"Mark Friedman
",PIT,D,725000
"Colin Blackwell
",TOR,C,725000
"Dustin Tokarski
",BUF,G,725000
"Gabriel Carlsson
",CBJ,D,725000
"Carl Grundstrom
",LAK,RW,725000
"Sebastian Aho
",NYI,D,725000
"Jake Bischoff
",VGK,D,716667
"Vitek Vanecek
",WAS,G,716667
