PLAYER,POS,CAP HIT
"Evgeny Kuznetsov
 WAS",C,"$7,800,000"
"Andrei Svechnikov
 CAR",RW,"$7,750,000"
"Jared Spurgeon
 MIN",D,"$7,575,000"
"Ryan O'Reilly
 STL",C,"$7,500,000"
"Vladimir Tarasenko
 STL",RW,"$7,500,000"
"Aaron Ekblad
 FLA",D,"$7,500,000"
"Patrik Laine
 CBJ",RW,"$7,500,000"
"Elias Pettersson
 VAN",C,"$7,350,000"
"Nico Hischier
 NJD",C,"$7,250,000"
"Kris Letang
 PIT",D,"$7,250,000"
"Clayton Keller
 ARI",C,"$7,150,000"
"Kevin Hayes
 PHI",C,"$7,142,857"
"Kyle Connor
 WPG",LW,"$7,142,857"
"Max Pacioretty
 VGK",LW,"$7,000,000"
"James Van Riemsdyk
 PHI",LW,"$7,000,000"
"Gabriel Landeskog
 COL",LW,"$7,000,000"
"Anders Lee
 NYI",C,"$7,000,000"
"Mathew Barzal
 NYI",C,"$7,000,000"
"Marc-Edouard Vlasic
 SJS",D,"$7,000,000"
"Matthew Tkachuk
 CGY",LW,"$7,000,000"
"Joe Pavelski
 DAL",C,"$7,000,000"
"Marc-Andre Fleury
 MIN",G,"$7,000,000"
"William Nylander
 TOR",C,"$6,962,366"
"Brent Seabrook
 TBL",D,"$6,875,000"
"Patrice Bergeron
 BOS",C,"$6,875,000"
"Ryan Kesler
 ARI",C,"$6,875,000"
"Philip Kessel
 ARI",RW,"$6,800,000"
"Ivan Provorov
 PHI",D,"$6,750,000"
"Brayden Point
 TBL",C,"$6,750,000"
"Ryan McDonagh
 TBL",D,"$6,750,000"
"Mark Giordano
 TOR",D,"$6,750,000"
"Johnny Gaudreau
 CGY",LW,"$6,750,000"
"David Pastrnak
 BOS",RW,"$6,666,666"
"Brendan Gallagher
 MTL",RW,"$6,500,000"
"Justin Faulk
 STL",D,"$6,500,000"
"Brayden Schenn
 STL",C,"$6,500,000"
"Torey Krug
 STL",D,"$6,500,000"
"Sam Reinhart
 FLA",C,"$6,500,000"
"Cam Fowler
 ANA",D,"$6,500,000"
"Chris Kreider
 NYR",LW,"$6,500,000"
"Alexander Debrincat
 CHI",RW,"$6,400,000"
"John Gibson
 ANA",G,"$6,400,000"
"Sean Monahan
 CGY",C,"$6,375,000"
"Nathan MacKinnon
 COL",C,"$6,300,000"
"Jeff Petry
 MTL",D,"$6,250,000"
"Matthew Murray
 OTT",G,"$6,250,000"
"Ryan Ellis
 PHI",D,"$6,250,000"
"Joshua Morrissey
 WPG",D,"$6,250,000"
"Alexander Radulov
 DAL",RW,"$6,250,000"
"Connor Hellebuyck
 WPG",G,"$6,166,666"
"Mark Scheifele
 WPG",C,"$6,125,000"
"Brad Marchand
 BOS",LW,"$6,125,000"
"Jesperi Kotkaniemi
 CAR",C,"$6,100,035"
"Dylan Larkin
 DET",C,"$6,100,000"
"Jordan Staal
 CAR",C,"$6,000,000"
"Jordan Binnington
 STL",G,"$6,000,000"
"Filip Forsberg
 NSH",C,"$6,000,000"
"Johnny Boychuk
 BUF",D,"$6,000,000"
"Rasmus Dahlin
 BUF",D,"$6,000,000"
"Kyle Okposo
 BUF",RW,"$6,000,000"
"Nikolaj Ehlers
 WPG",LW,"$6,000,000"
"Erik Johnson
 COL",D,"$6,000,000"
"Jake Guentzel
 PIT",C,"$6,000,000"
"Brock Nelson
 NYI",C,"$6,000,000"
"Taylor Hall
 BOS",LW,"$6,000,000"
"Timo Meier
 SJS",LW,"$6,000,000"
"Loui Eriksson
 ARI",RW,"$6,000,000"
"Milan Lucic
 CGY",LW,"$6,000,000"
"Tyler Myers
 VAN",D,"$6,000,000"
"Jacob Markstrom
 CGY",G,"$6,000,000"
"Mats Zuccarello-Aasen
 MIN",RW,"$6,000,000"
